postalcode,District,Latitude,Longitude,1st Most Common Restaurant,2nd Most Common Restaurant,3rd Most Common Restaurant,4th Most Common Restaurant,5th Most Common Restaurant,6th Most Common Restaurant,7th Most Common Restaurant,8th Most Common Restaurant,9th Most Common Restaurant,10th Most Common Restaurant,Cluster Labels,Population,Restaurant Count
75001,Addison,32.96129,-96.83751,Mexican Restaurant,Seafood Restaurant,Italian Restaurant,Sushi Restaurant,Mediterranean Restaurant,Southern / Soul Food Restaurant,Spanish Restaurant,Asian Restaurant,Tex-Mex Restaurant,Thai Restaurant,0,8259,65
75002,Allen,33.092846,-96.62447,Fast Food Restaurant,Tex-Mex Restaurant,Italian Restaurant,Indian Restaurant,Pakistani Restaurant,Mexican Restaurant,Asian Restaurant,Thai Restaurant,Cajun / Creole Restaurant,Chinese Restaurant,5,37216,18
75006,Carrollton,32.960374,-96.89163,Mexican Restaurant,Sushi Restaurant,Chinese Restaurant,Fast Food Restaurant,Vietnamese Restaurant,Latin American Restaurant,South American Restaurant,Asian Restaurant,Greek Restaurant,Ramen Restaurant,0,46784,32
75007,Carrollton,33.00542,-96.89773,Mexican Restaurant,Sushi Restaurant,Chinese Restaurant,Fast Food Restaurant,Vietnamese Restaurant,Latin American Restaurant,South American Restaurant,Asian Restaurant,Greek Restaurant,Ramen Restaurant,0,49933,6
75010,Carrollton,33.030556,-96.89328,Mexican Restaurant,Sushi Restaurant,Chinese Restaurant,Fast Food Restaurant,Vietnamese Restaurant,Latin American Restaurant,South American Restaurant,Asian Restaurant,Greek Restaurant,Ramen Restaurant,0,13202,25
75013,Allen,33.106582,-96.69402,Fast Food Restaurant,Tex-Mex Restaurant,Italian Restaurant,Indian Restaurant,Pakistani Restaurant,Mexican Restaurant,Asian Restaurant,Thai Restaurant,Cajun / Creole Restaurant,Chinese Restaurant,5,11624,34
75019,Coppell,32.967341,-96.98656,American Restaurant,Fast Food Restaurant,Tex-Mex Restaurant,Mexican Restaurant,Vietnamese Restaurant,Greek Restaurant,Mediterranean Restaurant,Restaurant,Japanese Restaurant,Chinese Restaurant,0,35737,60
75022,Flower Mound,33.024778,-97.10206,Sushi Restaurant,Thai Restaurant,Italian Restaurant,Indian Restaurant,Mediterranean Restaurant,Vietnamese Restaurant,French Restaurant,Korean Restaurant,Japanese Restaurant,Indian Chinese Restaurant,0,13824,3
75023,Plano,33.054671,-96.73506,Fast Food Restaurant,Asian Restaurant,Chinese Restaurant,Thai Restaurant,Italian Restaurant,Japanese Restaurant,Vietnamese Restaurant,Korean Restaurant,Indian Restaurant,Mexican Restaurant,0,46635,17
75024,Plano,33.07707,-96.79859,Fast Food Restaurant,Asian Restaurant,Chinese Restaurant,Thai Restaurant,Italian Restaurant,Japanese Restaurant,Vietnamese Restaurant,Korean Restaurant,Indian Restaurant,Mexican Restaurant,0,19743,17
75025,Plano,33.086868,-96.74504,Fast Food Restaurant,Asian Restaurant,Chinese Restaurant,Thai Restaurant,Italian Restaurant,Japanese Restaurant,Vietnamese Restaurant,Korean Restaurant,Indian Restaurant,Mexican Restaurant,0,39696,17
75028,Flower Mound,33.033214,-97.05965,Sushi Restaurant,Thai Restaurant,Italian Restaurant,Indian Restaurant,Mediterranean Restaurant,Vietnamese Restaurant,French Restaurant,Korean Restaurant,Japanese Restaurant,Indian Chinese Restaurant,0,35738,41
75032,Rockwall,32.867103,-96.44129,American Restaurant,Seafood Restaurant,Italian Restaurant,Restaurant,Mexican Restaurant,Tex-Mex Restaurant,Korean Restaurant,Turkish Restaurant,Indian Restaurant,Indian Chinese Restaurant,0,14243,1
75034,Frisco,33.143792,-96.83938,Japanese Restaurant,Vietnamese Restaurant,French Restaurant,Latin American Restaurant,Korean Restaurant,Italian Restaurant,Indian Restaurant,Indian Chinese Restaurant,Hawaiian Restaurant,Greek Restaurant,3,16101,18
75035,Frisco,33.130086,-96.78177,Japanese Restaurant,Vietnamese Restaurant,French Restaurant,Latin American Restaurant,Korean Restaurant,Italian Restaurant,Indian Restaurant,Indian Chinese Restaurant,Hawaiian Restaurant,Greek Restaurant,3,19113,4
75038,Irving,32.872386,-96.98524,American Restaurant,Mexican Restaurant,Indian Restaurant,Fast Food Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Chinese Restaurant,Salvadoran Restaurant,South Indian Restaurant,North Indian Restaurant,0,25317,9
75039,Irving,32.876474,-96.94129,American Restaurant,Mexican Restaurant,Indian Restaurant,Fast Food Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Chinese Restaurant,Salvadoran Restaurant,South Indian Restaurant,North Indian Restaurant,0,2816,41
75040,Garland,32.920574,-96.62639,Vietnamese Restaurant,Chinese Restaurant,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Asian Restaurant,Italian Restaurant,Spanish Restaurant,Fondue Restaurant,Indian Restaurant,0,55558,18
75041,Garland,32.881525,-96.64601,Vietnamese Restaurant,Chinese Restaurant,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Asian Restaurant,Italian Restaurant,Spanish Restaurant,Fondue Restaurant,Indian Restaurant,0,31645,5
75042,Garland,32.915625,-96.67399,Vietnamese Restaurant,Chinese Restaurant,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Asian Restaurant,Italian Restaurant,Spanish Restaurant,Fondue Restaurant,Indian Restaurant,0,38888,27
75043,Garland,32.854893,-96.60211,Vietnamese Restaurant,Chinese Restaurant,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Asian Restaurant,Italian Restaurant,Spanish Restaurant,Fondue Restaurant,Indian Restaurant,0,53343,16
75044,Garland,32.960375,-96.66188,Vietnamese Restaurant,Chinese Restaurant,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Asian Restaurant,Italian Restaurant,Spanish Restaurant,Fondue Restaurant,Indian Restaurant,0,36121,9
75048,Sachse,32.975723,-96.58661,Fast Food Restaurant,Vietnamese Restaurant,French Restaurant,Latin American Restaurant,Korean Restaurant,Japanese Restaurant,Italian Restaurant,Indian Restaurant,Indian Chinese Restaurant,Hawaiian Restaurant,1,9841,10
75050,Grand Prairie,32.759922,-97.01216,Mexican Restaurant,Seafood Restaurant,Restaurant,Fast Food Restaurant,Korean Restaurant,Japanese Restaurant,Italian Restaurant,Indian Restaurant,Indian Chinese Restaurant,Hawaiian Restaurant,0,37860,12
75051,Grand Prairie,32.728982,-97.00428,Mexican Restaurant,Seafood Restaurant,Restaurant,Fast Food Restaurant,Korean Restaurant,Japanese Restaurant,Italian Restaurant,Indian Restaurant,Indian Chinese Restaurant,Hawaiian Restaurant,0,31299,5
75052,Grand Prairie,32.675604,-97.02346,Mexican Restaurant,Seafood Restaurant,Restaurant,Fast Food Restaurant,Korean Restaurant,Japanese Restaurant,Italian Restaurant,Indian Restaurant,Indian Chinese Restaurant,Hawaiian Restaurant,0,56252,6
75054,Grand Prairie,32.767268,-96.777626,Mexican Restaurant,Seafood Restaurant,Restaurant,Fast Food Restaurant,Korean Restaurant,Japanese Restaurant,Italian Restaurant,Indian Restaurant,Indian Chinese Restaurant,Hawaiian Restaurant,0,23253,24
75056,The Colony,33.081421,-96.88957,Mexican Restaurant,Fast Food Restaurant,Chinese Restaurant,American Restaurant,Thai Restaurant,Fondue Restaurant,Japanese Restaurant,Italian Restaurant,Indian Restaurant,Indian Chinese Restaurant,0,28376,19
75057,Lewisville,33.04867,-96.99321,Fast Food Restaurant,American Restaurant,Italian Restaurant,Chinese Restaurant,Asian Restaurant,Mexican Restaurant,Tapas Restaurant,Szechuan Restaurant,Tex-Mex Restaurant,Indian Restaurant,5,12012,23
75060,Irving,32.80268,-96.95499,American Restaurant,Mexican Restaurant,Indian Restaurant,Fast Food Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Chinese Restaurant,Salvadoran Restaurant,South Indian Restaurant,North Indian Restaurant,0,45273,21
75061,Irving,32.826729,-96.9614,American Restaurant,Mexican Restaurant,Indian Restaurant,Fast Food Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Chinese Restaurant,Salvadoran Restaurant,South Indian Restaurant,North Indian Restaurant,0,53184,17
75062,Irving,32.846645,-96.96733,American Restaurant,Mexican Restaurant,Indian Restaurant,Fast Food Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Chinese Restaurant,Salvadoran Restaurant,South Indian Restaurant,North Indian Restaurant,0,41566,21
75063,Irving,32.916865,-96.97349,American Restaurant,Mexican Restaurant,Indian Restaurant,Fast Food Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Chinese Restaurant,Salvadoran Restaurant,South Indian Restaurant,North Indian Restaurant,0,24454,29
75065,Lake Dallas,33.12635,-97.02525,Mexican Restaurant,Italian Restaurant,Fast Food Restaurant,French Restaurant,Latin American Restaurant,Korean Restaurant,Japanese Restaurant,Indian Restaurant,Indian Chinese Restaurant,Hawaiian Restaurant,5,8348,17
75067,Lewisville,33.020118,-97.00771,Fast Food Restaurant,American Restaurant,Italian Restaurant,Chinese Restaurant,Asian Restaurant,Mexican Restaurant,Tapas Restaurant,Szechuan Restaurant,Tex-Mex Restaurant,Indian Restaurant,5,49378,6
75069,McKinney,33.195073,-96.60363,Mexican Restaurant,Fast Food Restaurant,American Restaurant,Vietnamese Restaurant,Tex-Mex Restaurant,Asian Restaurant,Sushi Restaurant,Cajun / Creole Restaurant,Indian Restaurant,Fondue Restaurant,0,28347,16
75070,McKinney,33.212203,-96.67522,Mexican Restaurant,Fast Food Restaurant,American Restaurant,Vietnamese Restaurant,Tex-Mex Restaurant,Asian Restaurant,Sushi Restaurant,Cajun / Creole Restaurant,Indian Restaurant,Fondue Restaurant,0,34637,21
75071,McKinney,33.225107,-96.638614,Mexican Restaurant,Fast Food Restaurant,American Restaurant,Vietnamese Restaurant,Tex-Mex Restaurant,Asian Restaurant,Sushi Restaurant,Cajun / Creole Restaurant,Indian Restaurant,Fondue Restaurant,0,55570,43
