District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,postal code
Addison,32.96129,-96.83751,Cindi's N.Y. Delicatessen,32.96186354,-96.83887266,Diner,75001
Addison,32.96129,-96.83751,La Spiga,32.95827797,-96.8374172,Bakery,75001
Addison,32.96129,-96.83751,Elite Cigar Cafe,32.95496703,-96.83787489,Smoke Shop,75001
Addison,32.96129,-96.83751,Enterprise Rent-A-Car,32.96067264,-96.83810158,Rental Car Location,75001
Addison,32.96129,-96.83751,Best Thai Signature,32.95489,-96.84138,Thai Restaurant,75001
Addison,32.96129,-96.83751,Fogo de Chao Brazilian Steakhouse,32.95378172,-96.83773761,Churrascaria,75001
Addison,32.96129,-96.83751,Chuy's Tex-Mex,32.95357493,-96.83581509,Mexican Restaurant,75001
Addison,32.96129,-96.83751,Anime Pop,32.9546808,-96.84119582,Hobby Shop,75001
Addison,32.96129,-96.83751,Chamberlains Fish Market Grill,32.95444205,-96.83532836,Seafood Restaurant,75001
Addison,32.96129,-96.83751,La Ventana,32.95386621,-96.83975678,Mexican Restaurant,75001
Addison,32.96129,-96.83751,Cantina Laredo,32.95341267,-96.83422729,Mexican Restaurant,75001
Addison,32.96129,-96.83751,Snuffer's,32.95393997,-96.83968008,Burger Joint,75001
Addison,32.96129,-96.83751,Lefty's Lobster and Chowder House,32.95452786,-96.8443561,Seafood Restaurant,75001
Addison,32.96129,-96.83751,Bic's Restaurant,32.96875494,-96.84194065,Diner,75001
Addison,32.96129,-96.83751,Dallas Desk,32.95786863,-96.83883967,Furniture / Home Store,75001
Addison,32.96129,-96.83751,Genghis Grill,32.95484481,-96.83845384,Asian Restaurant,75001
Addison,32.96129,-96.83751,Nate's Seafood & Steakhouse,32.95342005,-96.83930695,Cajun / Creole Restaurant,75001
Addison,32.96129,-96.83751,Which Wich? Superior Sandwiches,32.95453332,-96.84121591,Sandwich Place,75001
Addison,32.96129,-96.83751,Sanabel's Mediterraniean & Hookah Lounge,32.95542108,-96.83036426,Mediterranean Restaurant,75001
Addison,32.96129,-96.83751,The Londoner,32.95241484,-96.83845983,Pub,75001
Addison,32.96129,-96.83751,Andiamo Italian Bar & Grill,32.95461712,-96.83968037,Italian Restaurant,75001
Addison,32.96129,-96.83751,Outback Steakhouse,32.95592146,-96.82923281,Steakhouse,75001
Addison,32.96129,-96.83751,WaterTower Theatre,32.96210494,-96.8282617,Performing Arts Venue,75001
Addison,32.96129,-96.83751,Addison Cigar And Tobacco Club,32.95917199,-96.83001789,General Entertainment,75001
Addison,32.96129,-96.83751,Raising Cane's Chicken Fingers,32.95396968,-96.84286448,Fried Chicken Joint,75001
Addison,32.96129,-96.83751,Spring Creek Barbeque,32.9524555,-96.83940821,BBQ Joint,75001
Addison,32.96129,-96.83751,Luxury Nails & Day Spa,32.954882,-96.841402,Cosmetics Shop,75001
Addison,32.96129,-96.83751,The Quarter Bar & Grill,32.95571117,-96.83022009,Bar,75001
Addison,32.96129,-96.83751,Olive Garden,32.95395901,-96.83831228,Italian Restaurant,75001
Addison,32.96129,-96.83751,Tokyo One,32.95385159,-96.83741954,Sushi Restaurant,75001
Addison,32.96129,-96.83751,Stone Cottage Theatre,32.96187061,-96.82796552,Theater,75001
Addison,32.96129,-96.83751,Hyatt House Dallas/Addison,32.95726464,-96.82805989,Hotel,75001
Addison,32.96129,-96.83751,Starbucks,32.95397625,-96.83931336,Coffee Shop,75001
Addison,32.96129,-96.83751,Chili's Grill & Bar,32.9536768,-96.8349658,Tex-Mex Restaurant,75001
Addison,32.96129,-96.83751,Scooter's Coffee,32.954837,-96.844739,Coffee Shop,75001
Addison,32.96129,-96.83751,The UPS Store,32.9547884,-96.8402672,Shipping Store,75001
Addison,32.96129,-96.83751,NAI Sports Grill,32.95870648,-96.83007828,Bar,75001
Addison,32.96129,-96.83751,Ron's Place,32.954608,-96.840349,Bar,75001
Addison,32.96129,-96.83751,Budget Car Rental,32.963331,-96.829245,Rental Car Location,75001
Addison,32.96129,-96.83751,Staples,32.9536816,-96.8366237,Paper / Office Supplies Store,75001
Addison,32.96129,-96.83751,Avis Car Rental,32.963332,-96.829124,Rental Car Location,75001
Addison,32.96129,-96.83751,Addison Point,32.95369881,-96.83263834,Dive Bar,75001
Addison,32.96129,-96.83751,Remington's Seafood Grill,32.95340713,-96.83249814,Seafood Restaurant,75001
Addison,32.96129,-96.83751,Batteries Plus Bulbs,32.955011,-96.839711,Lighting Store,75001
Addison,32.96129,-96.83751,Homewood Suites by Hilton,32.9547137,-96.8357729,Hotel,75001
Addison,32.96129,-96.83751,T. Blanco's Mexican Cantina,32.9561247,-96.8304927,Mexican Restaurant,75001
Addison,32.96129,-96.83751,Comfort Suites North Galleria,32.955943,-96.8345402,Motel,75001
Addison,32.96129,-96.83751,Condom Sense,32.95481512,-96.83822557,Adult Boutique,75001
Addison,32.96129,-96.83751,Shell,32.95462417,-96.83933984,Gas Station,75001
Addison,32.96129,-96.83751,Red Roof Inn Dallas - Addison,32.95514601,-96.84258738,Hotel,75001
Addison,32.96129,-96.83751,Motel 6,32.9553198,-96.83686118,Hotel,75001
Addison,32.96129,-96.83751,FITCO,32.96555328,-96.84103394,Gym / Fitness Center,75001
Addison,32.96129,-96.83751,boba tea and treats,32.95459203,-96.84124319,Bubble Tea Shop,75001
Addison,32.96129,-96.83751,FedEx Office Print & Ship Center,32.9534903,-96.8328999,Shipping Store,75001
Addison,32.96129,-96.83751,Closets by Design,32.95913997,-96.84365304,Furniture / Home Store,75001
Addison,32.96129,-96.83751,Comfort Suites,32.95600323,-96.83455466,Motel,75001
Addison,32.96129,-96.83751,The Hub Sports Bar and Grill,32.95455744,-96.84070393,Sports Bar,75001
Addison,32.96129,-96.83751,"Connex Systems, Inc. - Authorized Xerox Agent/Dealer",32.96352396,-96.84511041,Print Shop,75001
Addison,32.96129,-96.83751,RCJ Machado Jiu Jitsu,32.967275,-96.841675,Martial Arts School,75001
Addison,32.96129,-96.83751,Lupe Tortilla,32.954353,-96.834483,Spanish Restaurant,75001
Addison,32.96129,-96.83751,Chamberlains Prime Chop House,32.95716,-96.82981,Food,75001
Addison,32.96129,-96.83751,Ultimate Bimmer Service,32.959279,-96.846419,Auto Garage,75001
Addison,32.96129,-96.83751,Buttons-Food for the Soul,32.95588694,-96.83044426,Southern / Soul Food Restaurant,75001
Addison,32.96129,-96.83751,Prosperity Bank -  Addison,32.95363889,-96.83345173,Bank,75001
Addison,32.96129,-96.83751,Addison Transit Center (DART),32.95890072,-96.8278552,Bus Station,75001
Allen,33.092846,-96.62447,SONIC Drive In,33.08621355,-96.62245587,Fast Food Restaurant,75002
Allen,33.092846,-96.62447,Starbucks,33.08595348,-96.61944196,Coffee Shop,75002
Allen,33.092846,-96.62447,Walmart Supercenter,33.08831064,-96.61850922,Big Box Store,75002
Allen,33.092846,-96.62447,Walgreens,33.08621114,-96.6207996,Pharmacy,75002
Allen,33.092846,-96.62447,7-Eleven,33.09959044,-96.62800923,Convenience Store,75002
Allen,33.092846,-96.62447,CVS pharmacy,33.09993853,-96.62922463,Pharmacy,75002
Allen,33.092846,-96.62447,Subway,33.0885045,-96.61841926,Sandwich Place,75002
Allen,33.092846,-96.62447,Wendy’s,33.08611615,-96.6185408,Fast Food Restaurant,75002
Allen,33.092846,-96.62447,Taco Bell,33.086148,-96.622139,Fast Food Restaurant,75002
Allen,33.092846,-96.62447,Bethany Lake Duck Pond,33.08879262,-96.62283743,Park,75002
Allen,33.092846,-96.62447,Kwik Kar of Lucas,33.089827,-96.619556,Auto Garage,75002
Allen,33.092846,-96.62447,Murphy USA Express,33.08943899,-96.61935739,Gas Station,75002
Allen,33.092846,-96.62447,Walmart Grocery Pickup and Delivery,33.08850098,-96.61837006,Grocery Store,75002
Allen,33.092846,-96.62447,Comet Cleaners,33.0996928,-96.6277602,Dry Cleaner,75002
Allen,33.092846,-96.62447,The Family Donut,33.09977448,-96.62801815,Donut Shop,75002
Allen,33.092846,-96.62447,Bethany & Lucas,33.08563424,-96.62011942,Intersection,75002
Allen,33.092846,-96.62447,Main And Malone,33.10031985,-96.62044286,Intersection,75002
Allen,33.092846,-96.62447,Stay Fit 24,33.10077667,-96.62931824,Gym,75002
Carrollton,32.960374,-96.89163,Barnes & Noble,32.95904144,-96.89036247,Bookstore,75006
Carrollton,32.960374,-96.89163,A.W. Perry Museum,32.95856,-96.896535,History Museum,75006
Carrollton,32.960374,-96.89163,Pho Pasteur 2,32.95480806,-96.88895711,Vietnamese Restaurant,75006
Carrollton,32.960374,-96.89163,Casa Vieja,32.95498592,-96.88757066,South American Restaurant,75006
Carrollton,32.960374,-96.89163,El Pollo Regio,32.95331767,-96.88707085,Mexican Restaurant,75006
Carrollton,32.960374,-96.89163,Lyn's Tropical Sno,32.95397121,-96.88669922,Dessert Shop,75006
Carrollton,32.960374,-96.89163,Tasty Greek,32.9536013,-96.88946753,Greek Restaurant,75006
Carrollton,32.960374,-96.89163,Tipicos,32.95391427,-96.88547867,Mexican Restaurant,75006
Carrollton,32.960374,-96.89163,Pho Express Noodle,32.95333564,-96.885089,Vietnamese Restaurant,75006
Carrollton,32.960374,-96.89163,Joe's Pizza,32.95343956,-96.88946104,Pizza Place,75006
Carrollton,32.960374,-96.89163,GameStop,32.95354186,-96.88945847,Video Game Store,75006
Carrollton,32.960374,-96.89163,HONSUSHI,32.95340998,-96.88957026,Sushi Restaurant,75006
Carrollton,32.960374,-96.89163,Wingstop,32.95350564,-96.88921935,Wings Joint,75006
Carrollton,32.960374,-96.89163,Josey Ranch Sports Complex,32.96748424,-96.89689014,Baseball Field,75006
Carrollton,32.960374,-96.89163,Dollar General,32.952407,-96.888323,Discount Store,75006
Carrollton,32.960374,-96.89163,Subway,32.95327363,-96.8876061,Sandwich Place,75006
Carrollton,32.960374,-96.89163,First Chinese BBQ,32.95491753,-96.88882148,Chinese Restaurant,75006
Carrollton,32.960374,-96.89163,Tortilleria La Sabrocita,32.95428389,-96.88841957,Mexican Restaurant,75006
Carrollton,32.960374,-96.89163,Firestone Complete Auto Care,32.95299084,-96.88988237,Automotive Shop,75006
Carrollton,32.960374,-96.89163,Old House Bbq,32.965253,-96.890463,BBQ Joint,75006
Carrollton,32.960374,-96.89163,Cicis,32.9551026,-96.8893132,Pizza Place,75006
