postalcode,District,Latitude,Longitude,Population
75001,Addison,32.96129,-96.83751,8259
75002,Allen,33.092846,-96.62447,37216
75006,Carrollton,32.960374,-96.89163,46784
75007,Carrollton,33.00542,-96.89773,49933
75009,Celina,33.327927,-96.76129,4951
75010,Carrollton,33.030556,-96.89328,13202
75013,Allen,33.106582,-96.69402,11624
75019,Coppell,32.967341,-96.98656,35737
75022,Flower Mound,33.024778,-97.10206,13824
75023,Plano,33.054671,-96.73506,46635
75024,Plano,33.07707,-96.79859,19743
75025,Plano,33.086868,-96.74504,39696
75028,Flower Mound,33.033214,-97.05965,35738
75032,Rockwall,32.867103,-96.44129,14243
75034,Frisco,33.143792,-96.83938,16101
75035,Frisco,33.130086,-96.78177,19113
75038,Irving,32.872386,-96.98524,25317
75039,Irving,32.876474,-96.94129,2816
75040,Garland,32.920574,-96.62639,55558
75041,Garland,32.881525,-96.64601,31645
75042,Garland,32.915625,-96.67399,38888
75043,Garland,32.854893,-96.60211,53343
75044,Garland,32.960375,-96.66188,36121
75048,Sachse,32.975723,-96.58661,9841
75050,Grand Prairie,32.759922,-97.01216,37860
75051,Grand Prairie,32.728982,-97.00428,31299
75052,Grand Prairie,32.675604,-97.02346,56252
75054,Grand Prairie,32.767268,-96.777626,23253
75056,The Colony,33.081421,-96.88957,28376
75057,Lewisville,33.04867,-96.99321,12012
75060,Irving,32.80268,-96.95499,45273
75061,Irving,32.826729,-96.9614,53184
75062,Irving,32.846645,-96.96733,41566
75063,Irving,32.916865,-96.97349,24454
75065,Lake Dallas,33.12635,-97.02525,8348
75067,Lewisville,33.020118,-97.00771,49378
75068,Little Elm,33.173008,-96.95485,7766
75069,McKinney,33.195073,-96.60363,28347
75070,McKinney,33.212203,-96.67522,34637
75071,McKinney,33.225107,-96.638614,55570
75074,Plano,33.028921,-96.68102,37371
75075,Plano,33.024721,-96.74038,34655
75077,Lewisville,33.075138,-97.0529,31604
75078,Prosper,33.240766,-96.79944,2959
75080,Richardson,32.969523,-96.74093,43285
75081,Richardson,32.948974,-96.70916,32660
75082,Richardson,32.993405,-96.65901,15550
75087,Rockwall,32.93382,-96.45446,16491
75088,Rowlett,32.897459,-96.5497,24856
75089,Rowlett,32.923924,-96.54697,18446
75093,Plano,33.03505,-96.80492,43958
75094,Murphy,33.009681,-96.61113,3229
75098,Wylie,33.011975,-96.53607,20905
75101,Bardwell,32.267846,-96.6967,478
75104,Cedar Hill,32.588536,-96.94949,32028
75114,Crandall,32.629178,-96.44339,4163
75115,DeSoto,32.599286,-96.85882,37761
75116,Duncanville,32.658384,-96.91265,18185
75119,Ennis,32.331239,-96.61962,23663
75125,Ferris,32.533551,-96.65684,5900
75126,Forney,32.745373,-96.46038,10696
75132,Fate,32.941014,-96.38095,220
75134,Lancaster,32.620385,-96.7812,11566
75135,Caddo Mills,33.075653,-96.23774,4525
75137,Duncanville,32.634835,-96.91343,17812
75141,Hutchins,32.644647,-96.71036,2825
75142,Kaufman,32.574299,-96.30377,17375
75143,Kemp,32.348007,-96.21035,13008
75146,Lancaster,32.590063,-96.75892,15436
75147,Mabank,32.314256,-96.11068,19734
75149,Mesquite,32.767329,-96.60759,54693
